_index	_type	_id	_score	_source.disk_usage	_source.enable_dedup	_source.enabled	_source.job_spec	_source.job_type	_source.kwargs	_source.passthru_query	_source.priority	_source.query_all	_source.query_string	_source.queue	_source.rule_name	_source.soft_time_limit	_source.tags	_source.time_limit	_source.username	_source.workflow	_source.creation_time	_source.modified_time
user_rules-mozart	_doc	IMNx7o4B475MmlQwUuQx	1	3GB	FALSE	TRUE	job-lw-mozart-retry:v1.2.6	hysds-io-lw-mozart-retry:v1.2.6	{"retry_count_max":"10","job_priority_increment":"+1"}	FALSE	0	FALSE	{"bool":{"must":[{"bool":{"must":[{"term":{"status":"job-failed"}},{"term":{"short_error.keyword":"Kernel died before r.....rnel_info\n"}},{"term":{"resource":"job"}}]}}]}}	system-jobs-queue	retry-notebook-pge-kernel_died	86400	retry-notebook-pge-kernel_died	86700	hysdsops	hysds-io-lw-mozart-retry:v1.2.6	2024-04-17T23:43:07.824758Z	2024-04-17T23:43:07.824758Z
user_rules-mozart	_doc	H8Nx7o4B475MmlQwUuQt	1	3GB	FALSE	TRUE	job-lw-mozart-retry:v1.2.6	hysds-io-lw-mozart-retry:v1.2.6	{"retry_count_max":"10","job_priority_increment":"+1"}	FALSE	0	FALSE	{"bool":{"must":[{"bool":{"must":[{"term":{"status":"job-failed"}},{"term":{"short_error.keyword":"\n-------------------.....'result'\n\n"}},{"term":{"resource":"job"}}]}}]}}	system-jobs-queue	retry-notebook-pge-key_error_result	86400	retry-notebook-pge-key_error_result	86700	hysdsops	hysds-io-lw-mozart-retry:v1.2.6	2024-04-17T23:43:07.820714Z	2024-04-17T23:43:07.820714Z
user_rules-mozart	_doc	IsNx7o4B475MmlQwUuQ5	1	3GB	FALSE	TRUE	job-lw-mozart-retry:v1.2.6	hysds-io-lw-mozart-retry:v1.2.6	{"retry_count_max":"10","job_priority_increment":"+1"}	FALSE	0	FALSE	{"bool":{"must":[{"bool":{"must":[{"term":{"status":"job-failed"}},{"term":{"short_error.keyword":"\n-------------------.....riptable\n\n"}},{"term":{"resource":"job"}}]}}]}}	system-jobs-queue	retry-notebook-pge-unsubscriptable	86400	retry-notebook-pge-unsubscriptable	86700	hysdsops	hysds-io-lw-mozart-retry:v1.2.6	2024-04-17T23:43:07.832648Z	2024-04-17T23:43:07.832648Z
user_rules-mozart	_doc	IcNx7o4B475MmlQwUuQ1	1	3GB	FALSE	TRUE	job-lw-mozart-retry:v1.2.6	hysds-io-lw-mozart-retry:v1.2.6	{"retry_count_max":"10","job_priority_increment":"+1"}	FALSE	0	FALSE	{"bool":{"must":[{"bool":{"must":[{"term":{"status":"job-failed"}},{"term":{"short_error.keyword":"Failed to download i.....navailable"}},{"term":{"resource":"job"}}]}}]}}	system-jobs-queue	retry-dem-resource_temp_unavail	86400	retry-dem-resource_temp_unavail	86700	hysdsops	hysds-io-lw-mozart-retry:v1.2.6	2024-04-17T23:43:07.828896Z	2024-04-17T23:43:07.828896Z
user_rules-mozart	_doc	JcNx7o4B475MmlQwUuRC	1	3GB	FALSE	TRUE	job-lw-mozart-retry:v1.2.6	hysds-io-lw-mozart-retry:v1.2.6	{"retry_count_max":"10","job_priority_increment":"+1"}	FALSE	0	FALSE	{"bool":{"must":[{"bool":{"must":[{"term":{"status":"job-failed"}},{"term":{"resource":"job"}},{"query_string":{"query":"\"Please reduce your request rate\"","default_operator":"OR"}}]}}]}}	system-jobs-queue	retry-s3_throttled	86400	retry-s3_throttled	86700	hysdsops	hysds-io-lw-mozart-retry:v1.2.6	2024-04-17T23:43:07.841909Z	2024-04-17T23:43:07.841909Z
user_rules-mozart	_doc	FsOCFo8B475MmlQwEeXT	1	3GB	FALSE	TRUE	job-lw-mozart-retry:v1.2.6	hysds-io-lw-mozart-retry:v1.2.6	{"retry_count_max":"3","job_priority_increment":"0"}	FALSE	0	FALSE	{"bool":{"must":[{"bool":{"must":[{"term":{"status":"job-failed"}},{"term":{"short_error.keyword":"Got non-zero exit code: 1"}},{"term":{"job.type":"job-hls_download:2.2.1"}}]}}]}}	system-jobs-queue	OPS_Retry_HLS_Download_ExitCode1	86400	OPS_Retry_Failed	86700	ops	hysds-io-lw-mozart-retry:v1.2.6	2024-04-25T18:26:14Z	2024-04-25T18:26:14Z
user_rules-mozart	_doc	I8Nx7o4B475MmlQwUuQ8	1	3GB	FALSE	TRUE	job-lw-mozart-retry:v1.2.6	hysds-io-lw-mozart-retry:v1.2.6	{"retry_count_max":"10","job_priority_increment":"+1"}	FALSE	0	FALSE	{"bool":{"must":[{"bool":{"must":[{"term":{"status":"job-failed"}},{"term":{"resource":"job"}},{"query_string":{"query":"\"wrapper_GDALWarpDestName\"","default_operator":"OR"}}]}}]}}	system-jobs-queue	retry-dem-gdal_warp	86400	retry-dem-gdal_warp	86700	hysdsops	hysds-io-lw-mozart-retry:v1.2.6	2024-04-17T23:43:07.835675Z	2024-04-17T23:43:07.835675Z
user_rules-mozart	_doc	FcPxxpAB475MmlQwk_PR	1	3GB	FALSE	TRUE	job-lw-mozart-purge:v1.2.6	hysds-io-lw-mozart-purge:v1.2.6	{}	TRUE	0	FALSE	{"bool":{"must":[{"bool":{"must":[{"term":{"status":"job-failed"}},{"term":{"short_error.keyword":"Product failed to in.....r is set\n\n"}}]}}]}}	system-jobs-queue	ops_Purge_Failed_NoClobber_Download	86400	OPS_Purge_NoClobber	86700	ops	hysds-io-lw-mozart-purge:v1.2.6	2024-07-18T17:43:59Z	2024-07-18T17:43:59Z
user_rules-mozart	_doc	HsNx7o4B475MmlQwUuQR	1	3GB	FALSE	TRUE	job-lw-mozart-retry:v1.2.6	hysds-io-lw-mozart-retry:v1.2.6	{"retry_count_max":"10","job_priority_increment":"+1"}	FALSE	0	FALSE	{"bool":{"must":[{"bool":{"must":[{"term":{"status":"job-failed"}},{"term":{"short_error.keyword":"Failed to load image.....on device\n"}},{"term":{"resource":"job"}}]}}]}}	system-jobs-queue	retry-image-load-fail	86400	retry-image-load-fail	86700	hysdsops	hysds-io-lw-mozart-retry:v1.2.6	2024-04-17T23:43:07.791904Z	2024-04-17T23:43:07.791904Z
user_rules-mozart	_doc	JMNx7o4B475MmlQwUuQ_	1	3GB	FALSE	TRUE	job-lw-mozart-retry:v1.2.6	hysds-io-lw-mozart-retry:v1.2.6	{"retry_count_max":"10","job_priority_increment":"+1"}	FALSE	0	FALSE	"{
  ""bool"": {
    ""must"": [
      {
        ""bool"": {
          ""must"": [
            {
              ""term"": {
                ""status"": ""job-failed""
              }
            },
            {
              ""term"": {
                ""resource"": ""job""
              }
            },
            {
              ""query_string"": {
                ""query"": ""credentials"",
                ""default_operator"": ""OR""
              }
            }
          ]
        }
      }
    ]
  }
}"	system-jobs-queue	retry-creds	86400	retry-creds	86700	hysdsops	hysds-io-lw-mozart-retry:v1.2.6	2024-04-17T23:43:07.839098Z	2024-04-17T23:43:07.839098Z
