mgrs_tile,description,platform,file_id,start_time,stop_time,absolute_orbit,path_number,frame_number,beam_mode,polarization,flight_direction,look_direction,burst_count,download_url
43WFS,43WFS,Sentinel-1C,,2025-04-15T01:21:26.523340Z,2025-04-15T01:21:57.198407Z,1897,,2230,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250415T012126_20250415T012157_001897_003A83_6262.zip
43WFS,43WFS,Sentinel-1C,,2025-04-13T01:37:34.306307Z,2025-04-13T01:38:04.979318Z,1868,,2207,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250413T013734_20250413T013804_001868_0038CC_0676.zip
37MEV,37MEV,Sentinel-1C,,2025-04-17T03:03:01.115518Z,2025-04-17T03:03:31.759751Z,1927,,3620,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250417T030301_20250417T030331_001927_003C5E_0E69.zip
50UQD,50UQD,Sentinel-1C,,2025-04-19T22:16:24.869587Z,2025-04-19T22:16:51.828208Z,1968,,2531,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250419T221624_20250419T221651_001968_003EDA_B924.zip
50UQD,50UQD,Sentinel-1C,,2025-04-19T22:16:00.040523Z,2025-04-19T22:16:27.005311Z,1968,,2501,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250419T221600_20250419T221627_001968_003EDA_B79D.zip
30STE,30STE,Sentinel-1C,,2025-04-22T06:18:21.991214Z,2025-04-22T06:18:40.789276Z,2002,,2869,IW,HH+HV,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDH_20250422T061821_20250422T061840_002002_0040D6_47CA.zip
30STE,30STE,Sentinel-1C,,2025-04-21T18:17:15.820023Z,2025-04-21T18:17:34.622196Z,1995,,721,IW,HH+HV,ASCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDH_20250421T181715_20250421T181734_001995_004061_DFF4.zip
30STE,30STE,Sentinel-1C,,2025-04-16T18:09:07.087698Z,2025-04-16T18:09:28.041679Z,1922,,727,EW,HH+HV,ASCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_EW_SLC__1SDH_20250416T180907_20250416T180928_001922_003C01_F1AC.zip
30STE,30STE,Sentinel-1C,,2025-04-15T06:26:33.204082Z,2025-04-15T06:26:52.026811Z,1900,,2866,IW,HH+HV,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDH_20250415T062633_20250415T062652_001900_003ABF_DE71.zip
30STE,30STE,Sentinel-1C,,2025-04-14T18:25:23.999896Z,2025-04-14T18:25:44.971393Z,1893,,714,EW,HH+HV,ASCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_EW_SLC__1SDH_20250414T182523_20250414T182544_001893_003A58_2390.zip
30STE,30STE,Sentinel-1C,,2025-04-10T06:18:46.205739Z,2025-04-10T06:19:16.858195Z,1827,,2899,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250410T061846_20250410T061916_001827_003639_D4B9.zip
30STE,30STE,Sentinel-1C,,2025-04-10T06:18:21.736919Z,2025-04-10T06:18:39.666614Z,1827,,2871,EW,HH+HV,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_EW_SLC__1SDH_20250410T061821_20250410T061839_001827_003637_39E1.zip
30STE,30STE,Sentinel-1C,,2025-04-09T18:17:15.344999Z,2025-04-09T18:17:36.290223Z,1820,,720,EW,HH+HV,ASCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_EW_SLC__1SDH_20250409T181715_20250409T181736_001820_0035AF_598C.zip
43VDJ,43VDJ,Sentinel-1C,,2025-04-15T01:23:09.527265Z,2025-04-15T01:23:36.494109Z,1897,,2352,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250415T012309_20250415T012336_001897_003A83_AC98.zip
43VDJ,43VDJ,Sentinel-1C,,2025-04-13T01:39:42.141353Z,2025-04-13T01:40:10.078419Z,1868,,2358,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250413T013942_20250413T014010_001868_0038CC_354B.zip
43VDJ,43VDJ,Sentinel-1C,,2025-04-13T01:39:17.314344Z,2025-04-13T01:39:44.281188Z,1868,,2329,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SC/S1C_IW_SLC__1SDV_20250413T013917_20250413T013944_001868_0038CC_6693.zip
