10TDT
11TLH
12STA
12UUD
13RCK
13VEC
14RNU
14SPH
16SBF
17MPT
17SQT
17TPG
17UPT
19NBD
19PFK
19TBG
20HMD
20HMJ
20JQM
20KNG
20KPF
20LMM
20LNJ
20LQL
20MMA
20TLP
21HUC
21HUU
21JTF
21JVJ
21LWC
21MVS
22KFA
22LDQ
22LDR
22LEQ
22MDT
22MGB
28PHR
29SPC
30SUD
30SXB
31PGN
31UCQ
32VMQ
33LWG
33MXS
33NUF
33PUR
33QTU
34KBF
34LBM
34LEM
34PCC
35MRM
35UNR
35VLF
36NUN
36PVR
36RTS
36UXA
37NEG
37VDH
38KNB
38RMN
38ULE
40SFC
41UPB
41WPQ
43QDD
43QEU
43QFE
44PKB
44QKM
45TUK
47NRG
47TNH
48MUD
48RWV
49RGN
50KNB
50NPL
50SLJ
50SMF
50ULE
50UNF
51JYM
51KVV
52TDP
52UCF
52UED
52VCH
53KKU
53KQV
53LKC
53VMG
54HXH
60HTF
