mgrs_tile,description,platform,file_id,start_time,stop_time,absolute_orbit,path_number,frame_number,beam_mode,polarization,flight_direction,look_direction,burst_count,download_url
10TDT,10TDT,Sentinel-1A,,2021-08-06T14:21:32.056022Z,2021-08-06T14:22:03.715700Z,39110,,431,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210806T142132_20210806T142203_039110_049D7A_E1A4.zip
10TDT,10TDT,Sentinel-1A,,2021-07-30T14:29:34.964913Z,2021-07-30T14:30:09.393425Z,39008,,429,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210730T142934_20210730T143009_039008_049A45_A31F.zip
10TDT,10TDT,Sentinel-1A,,2021-07-25T14:21:31.168778Z,2021-07-25T14:22:02.826400Z,38935,,431,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210725T142131_20210725T142202_038935_049819_76C8.zip
10TDT,10TDT,Sentinel-1A,,2021-07-18T14:29:34.344654Z,2021-07-18T14:30:08.764944Z,38833,,429,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210718T142934_20210718T143008_038833_049513_11B3.zip
10TDT,10TDT,Sentinel-1B,,2021-12-22T14:21:19.069028Z,2021-12-22T14:21:46.050260Z,30139,,436,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211222T142119_20211222T142146_030139_039950_5126.zip
10TDT,10TDT,Sentinel-1B,,2021-12-22T14:20:54.244075Z,2021-12-22T14:21:21.225307Z,30139,,431,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211222T142054_20211222T142121_030139_039950_6895.zip
10TDT,10TDT,Sentinel-1B,,2021-12-19T02:01:56.586125Z,2021-12-19T02:02:23.552968Z,30088,,154,IW,VV+VH,ASCENDING,R,,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211219T020156_20211219T020223_030088_0397B7_CF07.zip
10TDT,10TDT,Sentinel-1B,,2021-12-19T02:01:31.761171Z,2021-12-19T02:01:58.725959Z,30088,,150,IW,VV+VH,ASCENDING,R,,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211219T020131_20211219T020158_030088_0397B7_E243.zip
10TDT,10TDT,Sentinel-1B,,2021-12-15T14:29:19.447138Z,2021-12-15T14:29:47.371870Z,30037,,434,IW,VV+VH,DESCENDING,R,,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211215T142919_20211215T142947_030037_039626_973C.zip
10TDT,10TDT,Sentinel-1B,,2021-12-12T02:09:58.674119Z,2021-12-12T02:10:25.636851Z,29986,,152,IW,VV+VH,ASCENDING,R,,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211212T020958_20211212T021025_029986_03946F_5821.zip
10TDT,10TDT,Sentinel-1B,,2021-12-12T02:09:33.847110Z,2021-12-12T02:10:00.813953Z,29986,,147,IW,VV+VH,ASCENDING,R,,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20211212T020933_20211212T021000_029986_03946F_4807.zip
