RTC-S1 Burst ID, SAFE file ID, Absolute Orbit
T085-181060-IW3, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181061-IW1, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181061-IW2, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181061-IW3, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181062-IW1, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181062-IW2, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181062-IW3, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181063-IW1, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181063-IW2, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181063-IW3, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181064-IW1, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181064-IW2, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181064-IW3, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181065-IW1, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181065-IW2, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181065-IW3, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181066-IW1, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181066-IW2, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181066-IW3, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181067-IW1, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181067-IW2, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
T085-181067-IW3, S1A_IW_SLC__1SSH_20171230T133414_20171230T133440_019932_021EFD_F70C-SLC, 19932
