RTC-S1 Burst ID, SAFE file ID, Absolute Orbit
T057-120933-IW1, S1A_IW_SLC__1SDV_20171228T154814_20171228T154842_019904_021E1F_0263-SLC, 19904
T057-120933-IW2, S1A_IW_SLC__1SDV_20171228T154814_20171228T154842_019904_021E1F_0263-SLC, 19904
T057-120933-IW3, S1A_IW_SLC__1SDV_20171228T154814_20171228T154842_019904_021E1F_0263-SLC, 19904
T057-120934-IW1, S1A_IW_SLC__1SDV_20171228T154814_20171228T154842_019904_021E1F_0263-SLC, 19904
T057-120934-IW2, S1A_IW_SLC__1SDV_20171228T154814_20171228T154842_019904_021E1F_0263-SLC, 19904
T057-120934-IW3, S1A_IW_SLC__1SDV_20171228T154814_20171228T154842_019904_021E1F_0263-SLC, 19904
T058-124543-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124543-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124543-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124544-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124544-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124544-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124545-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124545-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124545-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124546-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124546-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124546-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124547-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124547-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124547-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124548-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124548-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124548-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124549-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124549-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124549-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124550-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124550-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124550-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124551-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124551-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124551-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124552-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124552-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124552-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124553-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124553-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124553-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124554-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124554-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124554-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124555-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124555-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124555-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124556-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124556-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124556-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124557-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124557-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124557-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124558-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124558-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124558-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124559-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124559-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124559-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124560-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124560-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124560-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124561-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124561-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124561-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124562-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124562-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124562-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124563-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124563-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124563-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124564-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124564-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124564-IW3, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124565-IW1, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
T058-124565-IW2, S1A_IW_SLC__1SDV_20171228T171930_20171228T171958_019905_021E25_9B6F-SLC, 19905
