RTC-S1 Burst ID, SAFE file ID, Absolute Orbit
T042-089880-IW3, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089881-IW1, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089881-IW2, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089881-IW3, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089882-IW1, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089882-IW2, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089882-IW3, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089883-IW1, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089883-IW2, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089883-IW3, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089884-IW1, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089884-IW2, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089884-IW3, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089885-IW1, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089885-IW2, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089885-IW3, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089886-IW1, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089886-IW2, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
T042-089886-IW3, S1A_IW_SLC__1SDV_20171227T140919_20171227T140956_019889_021D93_B531-SLC, 19889
